date,open,high,low,close,volume,close_change,volume_change
"2005-01-04,二",3051.24,3051.24,3016.26,3025.42,435050970,0,0
"2005-01-05,三",3020.72,3067.67,3017.34,3052.86,548324450,0.90698151,26.03682966
"2005-01-06,四",3054.1,3054.1,3016.15,3028.73,447629430,-0.790406373,-18.36413094
"2005-01-07,五",3028.69,3065.28,3019.07,3035.59,541592170,0.226497575,20.99118907
"2005-01-10,一",3032.84,3063.66,3018.49,3062.73,482015150,0.894060133,-11.00034736
"2005-01-11,二",3063.83,3076.83,3054.44,3069.57,470121010,0.223330166,-2.46758634
"2005-01-12,三",3068.23,3068.23,3044.47,3064.34,514081220,-0.170382171,9.35082863
"2005-01-13,四",3063.39,3081.87,3055.24,3074.36,588867510,0.326987214,14.54756313
"2005-01-14,五",3067.3,3105.58,3052.18,3055.52,549002040,-0.612810471,-6.769853884
"2005-01-17,一",3034.49,3036.59,2988.16,2999.02,670001000,-1.849112426,22.03980153
"2005-01-18,二",3000.6,3023.65,2985.7,3022.41,620274000,0.779921441,-7.421929221
"2005-01-19,三",3022.15,3022.8,2997.96,3001.24,577712360,-0.700434422,-6.861748195
"2005-01-20,四",2989.73,2989.73,2956.14,2969.12,655508990,-1.070224307,13.46632605
"2005-01-21,五",2966.22,3063.36,2936.37,3055.81,941400580,2.919720321,43.6136795
"2005-01-24,一",3114.3,3128.7,3075.84,3111.4,1040093480,1.819157605,10.4836243
"2005-01-25,二",3105.48,3142.8,3079.69,3141.86,794234080,0.978980523,-23.63820221
"2005-01-26,三",3143.45,3150.22,3117.27,3122.62,642292980,-0.612376108,-19.1305188
"2005-01-27,四",3111.84,3111.84,3068.36,3070.58,592647530,-1.666549244,-7.729408782
"2005-01-28,五",3057.25,3075.13,3053.04,3065.61,575483240,-0.161858672,-2.896205439
"2005-01-31,一",3058.07,3066.77,3033.32,3045.48,588652210,-0.656639299,2.288332498
"2005-02-01,二",3045.11,3091.41,3042.73,3066.23,642897000,0.681337589,9.215083045
"2005-02-02,三",3070.98,3221.53,3070.98,3221.21,1140918000,5.054415357,77.4651305
"2005-02-03,四",3224.86,3249.3,3186.15,3196.55,1123190020,-0.765550833,-1.553834719
"2005-02-04,五",3192.5,3282.99,3184.16,3266.01,923196290,2.172967731,-17.80586779
"2005-02-16,三",3285.82,3315.21,3266.28,3283.88,825651830,0.547150805,-10.56595017
"2005-02-17,四",3291.78,3291.78,3236.77,3264.34,710704520,-0.595027833,-13.92200754
"2005-02-18,五",3263.55,3271.46,3231.47,3233.57,623314430,-0.942610145,-12.29626202
"2005-02-21,一",3231.26,3299.1,3231.26,3298.47,723649310,2.007069586,16.09699297
"2005-02-22,二",3303.9,3386.49,3299.03,3382.98,1468619900,2.562096972,102.9463553
"2005-02-23,三",3380.88,3402.72,3361.21,3383.06,1518327000,0.002364779,3.384612996
"2005-02-24,四",3382.48,3382.48,3339.86,3379.49,1200093530,-0.105525767,-20.95948172
"2005-02-25,五",3379.4,3431.83,3377.2,3385.44,1430320200,0.176062069,19.1840606
"2005-02-28,一",3383.59,3395.63,3361.43,3376.32,1114630080,-0.269388913,-22.07129005
"2005-03-01,二",3373.67,3380.67,3333.25,3348.45,1083146080,-0.825454933,-2.824614243
"2005-03-02,三",3354.13,3389.52,3299.03,3301.76,1153697600,-1.394376503,6.513573866
"2005-03-03,四",3297.75,3335.63,3291.06,3334.46,819519640,0.990380888,-28.96581912
"2005-03-04,五",3335.36,3352.33,3327.91,3332.15,759416140,-0.069276585,-7.33399141
"2005-03-07,一",3340.11,3379.66,3340.11,3368.67,745777840,1.095989076,-1.795892829
"2005-03-08,二",3394.09,3451.82,3383.73,3451.82,1093681090,2.4683332,46.64971676
"2005-03-09,三",3460.53,3481.44,3445.9,3464.66,1118066790,0.371977681,2.229690192
"2005-03-10,四",3465.31,3465.52,3356.99,3373.54,1030655450,-2.629983895,-7.81807856
"2005-03-11,五",3368.43,3411.33,3360.38,3408.84,892227960,1.046378582,-13.43101519
"2005-03-14,一",3414.76,3471.21,3367.52,3420.55,1091088300,0.343518616,22.28806414
"2005-03-15,二",3420.57,3425.52,3361.2,3366.68,971375160,-1.574892927,-10.97190209
"2005-03-16,三",3360.33,3360.33,3301.22,3341.12,834860530,-0.759204914,-14.05374933
"2005-03-17,四",3327.08,3346.95,3294.53,3296.17,840961360,-1.345357245,0.730760382
"2005-03-18,五",3290.3,3309.1,3250.93,3255.28,822969310,-1.240530677,-2.139462151
"2005-03-21,一",3247.38,3284.26,3234.87,3276.52,596651620,0.652478435,-27.50013728
"2005-03-22,二",3278.43,3283.52,3241.45,3249.5,911823460,-0.824655427,52.82342818
"2005-03-23,三",3251.62,3304.38,3216.4,3220.07,877981130,-0.905677797,-3.71150025
"2005-03-24,四",3211.19,3235.53,3164.17,3214.98,697627710,-0.158071098,-20.54183329
"2005-03-25,五",3212.04,3228.16,3194.45,3214.85,627824240,-0.004043571,-10.00583391
"2005-03-28,一",3211.16,3214.01,3178.05,3213.31,614820200,-0.047902702,-2.071286703
"2005-03-29,二",3213.55,3243.85,3205.27,3208.44,627711980,-0.151557117,2.096837417
"2005-03-30,三",3202.57,3202.57,3134.53,3137.46,795068720,-2.212290085,26.66139015
"2005-03-31,四",3128.63,3171.79,3113.9,3170.35,643686300,1.048300217,-19.040168
"2005-04-01,五",3168.78,3327.35,3153.63,3284.95,1130758040,3.614742852,75.66911708
"2005-04-04,一",3255.13,3283.2,3211.97,3244.25,919643070,-1.238983851,-18.67021613
"2005-04-05,二",3240.31,3275.37,3230.93,3244.93,767311910,0.02096016,-16.56416114
"2005-04-06,三",3245.13,3330.3,3232.3,3312.64,1161796130,2.086639773,51.4111947
"2005-04-07,四",3321.91,3401.23,3321.91,3343.77,1596158200,0.939733868,37.38711627
"2005-04-08,五",3345.33,3398.61,3325.61,3397.32,1270517000,1.601485748,-20.4015617
"2005-04-11,一",3400.94,3422.68,3354.43,3357.03,1336486490,-1.185934796,5.192334302
"2005-04-12,二",3351.14,3351.4,3307.01,3310.81,965544800,-1.376812242,-27.75498988
"2005-04-13,三",3337.92,3396.33,3337.92,3371.49,1266452470,1.832784122,31.16454772
"2005-04-14,四",3382.68,3392.92,3315.57,3324.93,1132170830,-1.380991787,-10.6029751
"2005-04-15,五",3309.69,3318.95,3278.48,3304.3,991226830,-0.62046419,-12.44900471
"2005-04-18,一",3296.73,3296.73,3243.39,3261.32,795761900,-1.300729353,-19.71949549
"2005-04-19,二",3260.77,3283.49,3238.58,3267.54,783676750,0.190720322,-1.518689196
"2005-04-20,三",3257.5,3257.64,3209.03,3222.53,820034640,-1.377488875,4.639398834
"2005-04-21,四",3220.64,3233.2,3190.92,3207.56,892118410,-0.464541835,8.790332321
"2005-04-22,五",3212.85,3216.51,3167.07,3176.92,956153200,-0.955243238,7.177835283
"2005-04-25,一",3164.38,3164.38,3127.75,3160.62,949796550,-0.513075557,-0.664815011
"2005-04-26,二",3156.17,3196.47,3135.91,3180.18,1012048010,0.618865919,6.554188894
"2005-04-27,三",3189.91,3189.91,3157.49,3163.01,891449410,-0.539906546,-11.91629239
"2005-04-28,四",3158.74,3213.96,3127.79,3204.73,1205267230,1.318996778,35.20309919
"2005-04-29,五",3200.18,3202.43,3149.08,3156.67,953738180,-1.499658318,-20.86915198
"2005-05-09,一",3159.35,3168.84,3030.65,3031.49,683701470,-3.965571314,-28.31350529
"2005-05-10,二",3017.39,3068.53,2981.44,3067.98,837568480,1.203698511,22.50499915
"2005-05-11,三",3064.15,3073.13,2994.42,3000.6,776210210,-2.196233352,-7.32576159
